dept_code,n,taux_reel,taux_corrige,cible
0201,35498,0.6770522282945518,0.556106,fdsm123
0202,29906,0.7205577476091755,0.6399003,fdsm123
0203,5208,0.5122887864823349,0.4831047,fdsm123
0204,1583,0.3638660770688566,0.48648217,fdsm123
0205,954,0.20440251572327045,0.3396882,fdsm123
0206,1355,0.3505535055350554,0.47404763,fdsm123
0207,2354,0.8126593033135089,0.40650684,fdsm123
0208,2784,0.22701149425287356,0.45770365,fdsm123
0209,699,0.0844062947067239,0.3236517,fdsm123
0210,1611,0.5667287399130975,0.42542925,fdsm123
0211,646,0.16563467492260062,0.24435057,fdsm123
0201,35497,0.8010254387694735,0.82705444,fdsm124
0202,29905,0.8485203143287076,0.843397,fdsm124
0203,5208,0.6674347158218126,0.7386454,fdsm124
0204,1583,0.7037271004421983,0.8001177,fdsm124
0205,954,0.7285115303983228,0.79976714,fdsm124
0206,1355,0.6383763837638377,0.7891306,fdsm124
0207,2354,0.9107901444350043,0.7877654,fdsm124
0208,2784,0.5061063218390804,0.74383247,fdsm124
0209,699,0.3905579399141631,0.68549526,fdsm124
0210,1611,0.771570453134699,0.7877151,fdsm124
0211,646,0.47987616099071206,0.5922135,fdsm124
0301,22498,0.5509823095386257,0.4992883,fdsm123
0302,9304,0.3624247635425623,0.42093125,fdsm123
0301,22495,0.6659257612802845,0.7783733,fdsm124
0302,9304,0.6601461736887361,0.74224895,fdsm124
0401,24243,0.4938745204801386,0.5592715,fdsm123
0402,8846,0.5342527696133845,0.36563435,fdsm123
0403,3791,0.5412819836454761,0.3723808,fdsm123
0404,2302,0.2145960034752389,0.37633857,fdsm123
0405,4517,0.2590214744299314,0.5445483,fdsm123
0406,2750,0.6545454545454545,0.3637141,fdsm123
0407,6430,0.578538102643857,0.5245726,fdsm123
0408,1071,0.0028011204481792717,0.25210863,fdsm123
0409,588,0.015306122448979591,0.43514454,fdsm123
0401,24241,0.724846334722165,0.78664356,fdsm124
0402,8846,0.6822292561609767,0.73589957,fdsm124
0403,3791,0.5296755473489845,0.7003275,fdsm124
0404,2301,0.33202955236853543,0.68493575,fdsm124
0405,4517,0.6920522470666371,0.78437656,fdsm124
0406,2750,0.6887272727272727,0.6703466,fdsm124
0407,6430,0.6360808709175739,0.7465222,fdsm124
0408,1071,0.2689075630252101,0.63819975,fdsm124
0409,588,0.5306122448979592,0.6794461,fdsm124
0501,13096,0.5632254123396457,0.5553423,fdsm123
0502,2875,0.21982608695652173,0.44627526,fdsm123
0503,2414,0.1628003314001657,0.446318,fdsm123
0504,1316,0.12917933130699089,0.36632985,fdsm123
0505,398,0.13316582914572864,0.46299514,fdsm123
0506,1120,0.12321428571428572,0.37803337,fdsm123
0501,13096,0.7681734880879658,0.7714324,fdsm124
0502,2875,0.45182608695652177,0.6945944,fdsm124
0503,2412,0.4539800995024876,0.67243844,fdsm124
0504,1316,0.5326747720364742,0.65382624,fdsm124
0505,398,0.49748743718592964,0.7255616,fdsm124
0506,1120,0.4089285714285714,0.6454731,fdsm124
0601,14165,0.6263325097070244,0.5778261,fdsm123
0602,4787,0.5435554627115103,0.352663,fdsm123
0603,3480,0.23045977011494254,0.4142724,fdsm123
0604,1927,0.2667358588479502,0.5389597,fdsm123
0601,14165,0.7582774444052242,0.8035798,fdsm124
0602,4787,0.73553373720493,0.7237926,fdsm124
0603,3480,0.43333333333333335,0.70670074,fdsm124
0604,1927,0.5189413596263622,0.78737557,fdsm124
0701,9669,0.5517633674630261,0.5331169,fdsm123
0702,9288,0.305770887166236,0.43490657,fdsm123
0703,1858,0.8503767491926802,0.35860112,fdsm123
0704,1802,0.02830188679245283,0.35939872,fdsm123
0701,9669,0.7439238804426518,0.76666206,fdsm124
0702,9286,0.7679302175317683,0.7967515,fdsm124
0703,1858,0.8918191603875134,0.781712,fdsm124
0704,1802,0.6104328523862376,0.66406155,fdsm124
0801,80854,0.6719766492690529,0.6288107,fdsm123
0802,5616,0.5108618233618234,0.58028233,fdsm123
0803,4981,0.14113631800843204,0.34134322,fdsm123
0801,80851,0.8096374812927484,0.8550475,fdsm124
0802,5616,0.656517094017094,0.7725379,fdsm124
0803,4981,0.2728367797630998,0.5719999,fdsm124
0901,30315,0.6012864918357249,0.5284341,fdsm123
0902,16618,0.37657961246840777,0.42533416,fdsm123
0903,4098,0.17667154709614447,0.40742034,fdsm123
0904,9115,0.5149753154141525,0.47283152,fdsm123
0905,1621,0.47069710055521286,0.4469677,fdsm123
0901,30314,0.7459259747971234,0.75536585,fdsm124
0902,16616,0.6846413095811267,0.7282105,fdsm124
0903,4098,0.340165934602245,0.6384411,fdsm124
0904,9114,0.6586570111915734,0.7362984,fdsm124
0905,1621,0.47378161628624305,0.66759616,fdsm124
