cible,facteur_attenuation,tau_kendall,n_inversions_paires,n_paires_total
fdsm123,1.0,0.4999999999999999,7,28
fdsm123,0.9,0.4999999999999999,7,28
fdsm123,0.8,0.4999999999999999,7,28
fdsm123,0.7,0.4999999999999999,7,28
fdsm123,0.6,0.4999999999999999,7,28
fdsm123,0.5,0.4999999999999999,7,28
fdsm123,0.4,0.4999999999999999,7,28
fdsm123,0.3,0.4999999999999999,7,28
fdsm123,0.2,0.4999999999999999,7,28
fdsm123,0.1,0.4999999999999999,7,28
fdsm123,0.0,0.07142857142857142,13,28
fdsm124,1.0,0.7142857142857142,4,28
fdsm124,0.9,0.7142857142857142,4,28
fdsm124,0.8,0.7142857142857142,4,28
fdsm124,0.7,0.7142857142857142,4,28
fdsm124,0.6,0.7142857142857142,4,28
fdsm124,0.5,0.7142857142857142,4,28
fdsm124,0.4,0.7142857142857142,4,28
fdsm124,0.3,0.7142857142857142,4,28
fdsm124,0.2,0.7142857142857142,4,28
fdsm124,0.1,0.7142857142857142,4,28
fdsm124,0.0,-0.07142857142857142,15,28
fdsm125,1.0,0.4999999999999999,7,28
fdsm125,0.9,0.4999999999999999,7,28
fdsm125,0.8,0.4999999999999999,7,28
fdsm125,0.7,0.4999999999999999,7,28
fdsm125,0.6,0.4999999999999999,7,28
fdsm125,0.5,0.4999999999999999,7,28
fdsm125,0.4,0.4999999999999999,7,28
fdsm125,0.3,0.4999999999999999,7,28
fdsm125,0.2,0.4999999999999999,7,28
fdsm125,0.1,0.4999999999999999,7,28
fdsm125,0.0,0.21428571428571427,11,28
