cible,decalage_seuil,seuil_effectif,tau_kendall,n_inversions_paires,n_paires_total
fdsm123,0.0,0.5,0.3571428571428571,9,28
fdsm123,0.05,0.55,0.5714285714285714,6,28
fdsm123,-0.05,0.45,0.2857142857142857,10,28
fdsm123,0.1,0.6,0.4999999999999999,7,28
fdsm123,-0.1,0.4,0.5714285714285714,6,28
fdsm123,0.15,0.65,0.4999999999999999,7,28
fdsm123,-0.15,0.35,0.42857142857142855,8,28
fdsm123,0.2,0.7,0.6428571428571428,5,28
fdsm123,-0.2,0.3,0.2857142857142857,10,28
fdsm123,0.25,0.75,0.7857142857142856,3,28
fdsm123,-0.25,0.25,0.3571428571428571,9,28
fdsm123,0.3,0.8,0.6428571428571428,5,28
fdsm123,-0.3,0.2,0.42857142857142855,8,28
fdsm124,0.0,0.5,0.6428571428571428,5,28
fdsm124,0.05,0.55,0.7142857142857142,4,28
fdsm124,-0.05,0.45,0.6428571428571428,5,28
fdsm124,0.1,0.6,0.6428571428571428,5,28
fdsm124,-0.1,0.4,0.5714285714285714,6,28
fdsm124,0.15,0.65,0.7857142857142856,3,28
fdsm124,-0.15,0.35,0.3571428571428571,9,28
fdsm124,0.2,0.7,0.7142857142857142,4,28
fdsm124,-0.2,0.3,0.2857142857142857,10,28
fdsm124,0.25,0.75,0.6428571428571428,5,28
fdsm124,-0.25,0.25,0.2857142857142857,10,28
fdsm124,0.3,0.8,0.6428571428571428,5,28
fdsm124,-0.3,0.2,-0.14285714285714285,16,28
fdsm125,0.0,0.5,0.3571428571428571,9,28
fdsm125,0.05,0.55,0.6428571428571428,5,28
fdsm125,-0.05,0.45,0.42857142857142855,8,28
fdsm125,0.1,0.6,0.9285714285714285,1,28
fdsm125,-0.1,0.4,0.6428571428571428,5,28
fdsm125,0.15,0.65,0.8571428571428571,2,28
fdsm125,-0.15,0.35,0.5714285714285714,6,28
fdsm125,0.2,0.7,0.7857142857142856,3,28
fdsm125,-0.2,0.3,0.4999999999999999,7,28
fdsm125,0.25,0.75,0.8571428571428571,2,28
fdsm125,-0.25,0.25,0.4999999999999999,7,28
fdsm125,0.3,0.8,0.8571428571428571,2,28
fdsm125,-0.3,0.2,0.3571428571428571,9,28
